bill_type_bill_name_bill_ID	missing_votes	 Arlen Specter (PA)	 Barack H. Obama (IL)	 Barbara A. Mikulski (MD)	 Barbara Boxer (CA)	 Bill Nelson (FL)	 Blanche L. Lincoln (AR)	 Byron L. Dorgan (ND)	 C. Saxby Chambliss (GA)	 Carl Levin (MI)	 Charles E. 'Chuck' Grassley (IA)	 Charles E. 'Chuck' Schumer (NY)	 Charles T. 'Chuck' Hagel (NE)	 Christopher J. Dodd (CT)	 Christopher S. 'Kit' Bond (MO)	 Conrad R. Burns (MT)	 Craig Thomas (WY)	 Daniel K. Inouye (HI)	 Daniel Kahikina Akaka (HI)	 David B. Vitter (LA)	 Debbie Ann Stabenow (MI)	 Dianne Feinstein (CA)	 E. Benjamin 'Ben' Nelson (NE)	 Edward M. 'Ted' Kennedy (MA)	 Elizabeth H. Dole (NC)	 Evan Bayh (IN)	 Frank R. Lautenberg (NJ)	 George Felix Allen (VA)	 George V. Voinovich (OH)	 Gordon Harold Smith (OR)	 Harry M. Reid (NV)	 Herbert H. 'Herb' Kohl (WI)	 Hillary Rodham Clinton (NY)	 James M. 'Jim' Inhofe (OK)	 James M. 'Jim' Talent (MO)	 James Merrill 'Jim' Jeffords (VT)	 Jeff Bingaman (NM)	 Jefferson B. 'Jeff' Sessions III (AL)	 Jim Bunning (KY)	 Jim W. DeMint (SC)	 John Cornyn (TX)	 John D. 'Jay' Rockefeller IV (WV)	 John E. Sununu (NH)	 John Eric Ensign (NV)	 John F. 'Jack' Reed (RI)	 John Forbes Kerry (MA)	 John H. 'Johnny' Isakson (GA)	 John R. Thune (SD)	 John S. McCain (AZ)	 John W. Warner (VA)	 Jon Kyl (AZ)	 Joseph I. Lieberman (CT)	 Joseph R. Biden Jr. (DE)	 Judd A. Gregg (NH)	 Kay Bailey Hutchison (TX)	 Ken Salazar (CO)	 Kent Conrad (ND)	 Lamar Alexander (TN)	 Larry E. Craig (ID)	 Lincoln D. Chafee (RI)	 Lindsey O. Graham (SC)	 Lisa A. Murkowski (AK)	 Maria Cantwell (WA)	 Mark Dayton (MN)	 Mark Pryor (AR)	 Mary L. Landrieu (LA)	 Max S. Baucus (MT)	 Mel Martinez (FL)	 Michael B. Enzi (WY)	 Michael D. 'Mike' Crapo (ID)	 Michael 'Mike' DeWine (OH)	 Mitch McConnell (KY)	 Norm Coleman (MN)	 Olympia J. Snowe (ME)	 Orrin G. Hatch (UT)	 Pat Roberts (KS)	 Patrick J. Leahy (VT)	 Patty Murray (WA)	 Paul S. Sarbanes (MD)	 Pete V. Domenici (NM)	 Richard C. Shelby (AL)	 Richard G. Lugar (IN)	 Richard J. 'Dick' Durbin (IL)	 Richard J. 'Rick' Santorum (PA)	 Richard M. Burr (NC)	 Robert C. Byrd (WV)	 Robert F. Bennett (UT)	 Robert Menendez (NJ)	 Ron Wyden (OR)	 Russell D. Feingold (WI)	 Samuel D. 'Sam' Brownback (KS)	 Susan M. Collins (ME)	 Ted Stevens (AK)	 Thad Cochran (MS)	 Thomas Allen 'Tom' Coburn (OK)	 Thomas Richard Carper (DE)	 Thomas 'Tom' Harkin (IA)	 Tim P. Johnson (SD)	 Trent Lott (MS)	 Wayne A. Allard (CO)	 William H. 'Bill' Frist (TN)
Gun Issues_Firearm Confiscation Prohibition Amendment_3872	0	1	1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1
Immigration_Double-Layered Fencing Amendment_3888	0	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	-1
Military Issues_Cluster Munitions Amendment_3897	0	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
National Security Issues_Rail and Transit Security Amendment_3868	0	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Science and Medical Research_Stem Cell Research Bill_3874	0	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1
Abortion Issues_Unintended Pregnancy Amendment_3489	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Appropriations_Agriculture, Rural Development, FDA Appropriations Act_3675"	1	1	1	1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1
"Appropriations_Agriculture, Rural Development, FDA Appropriations Act_3677"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"Appropriations_Commerce, Justice, Science, Appropriations Bill FY 2006_3711"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1
Appropriations_Defense Department FY2006 Appropriations bill_3790	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1
"Appropriations_Emergency Supplemental Appropriations Act, 2005_3515"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"Appropriations_Emergency Supplemental Appropriations Act, 2006_3845"	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Appropriations_Influenza Vaccine Injury Compensation Amendment_3818	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Appropriations_Interior Department FY 2006 Appropriations Bill_3595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1
"Appropriations_Legislative Branch Appropriations Act, 2006_3596"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1
Appropriations_Low-Income Home Energy Assistance Funding Amendment_3659	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	1
Appropriations_Low-Income Home Energy Assistance Program Amendment_3640	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1
Appropriations_Sugarcane Growers Funding Amendment_3819	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	1	0	1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	1
"Budget, Spending and Taxes_Budget FY2006 Appropriations Resolution_3488"	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Budget Reconciliation bill_3665"	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Budget Reconciliation bill_3789"	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Education Amendment_3490"	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Homeland Security Grant Program Amendment_3492"	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Hurricane Victims Tax Benefit Amendment_3706"	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Medicare Prescription Drug Amendment_3663"	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	1	-1	-1	1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Native American Funding Amendment_3498"	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Pay As You Go Amendment_3670"	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Perkins Vocational Education Program Amendment_3491"	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Tax Rate Amendment_3715"	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
